player,mat,runs,ball,M,_4s,_6s,strike_rate
321777,1144986,2,1,0,0,0,200.0
379143,1144987,9,12,0,1,0,75.0
269280,1144987,16,27,0,1,0,59.25
600498,1144987,19,17,0,2,1,111.76
44828,1144987,47,65,0,3,0,72.3
436757,1144987,14,17,0,2,0,82.35
321777,1144987,51,71,0,3,1,71.83
327830,1144987,14,32,0,0,0,43.75
47492,1144987,3,11,0,0,0,27.27
550215,1144987,9,17,0,0,0,52.94
542023,1144987,19,20,0,1,1,95.0
40618,1144987,11,11,0,2,0,100.0
379143,1144988,4,7,0,0,0,57.14
269280,1144988,8,26,0,2,0,30.76
600498,1144988,32,42,0,1,3,76.19
44828,1144988,125,114,0,15,2,109.64
321777,1144988,139,108,0,13,4,128.7
436757,1144988,1,2,0,0,0,50.0
327830,1144988,1,1,0,0,0,100.0
43906,1144156,108,120,212,7,1,90.0
269280,1144156,45,67,71,5,0,67.16
337790,1144156,93,101,119,6,3,92.07
321777,1144156,16,12,20,2,0,133.33
269280,1144157,5,9,15,1,0,55.55
43906,1144157,8,5,7,2,0,160.0
337790,1144157,80,123,177,9,0,65.04
44828,1144157,8,8,8,2,0,100.0
321777,1144157,31,26,37,5,0,119.23
436757,1144157,0,1,3,0,0,0.0
540316,1144157,69,80,115,7,2,86.25
379143,1144158,33,36,61,4,0,91.66
43906,1144158,25,30,39,3,0,83.33
269280,1144158,83,90,88,8,2,92.22
44828,1144158,40,42,66,3,1,95.23
43906,1144159,59,75,131,7,0,78.66
379143,1144159,0,7,11,0,0,0.0
269280,1144159,2,9,17,0,0,22.22
44828,1144159,57,76,86,5,1,75.0
337790,1144159,18,31,53,1,0,58.06
321777,1144159,4,7,15,0,0,57.14
540316,1144159,11,21,37,2,0,52.38
47492,1144159,0,2,2,0,0,0.0
550215,1144159,0,1,1,0,0,0.0
379927,1144159,2,8,17,0,0,25.0
40618,1144159,5,9,9,1,0,55.55
379143,1144160,83,58,96,11,3,143.1
43906,1144160,14,17,30,2,0,82.35
269280,1144160,34,33,38,3,1,103.03
44828,1144160,50,72,107,3,0,69.44
337790,1144160,50,61,77,0,3,81.96
379143,1144167,81,72,107,11,0,112.5
269280,1144167,1,4,9,0,0,25.0
44828,1144167,112,114,161,15,1,98.24
337790,1144167,32,43,63,2,0,74.41
379143,1144168,94,70,92,17,1,134.28
269280,1144168,29,41,62,4,0,70.73
44828,1144168,57,66,98,7,0,86.36
337790,1144168,2,4,10,0,0,50.0
698189,1144168,17,11,20,4,0,154.54
321777,1144168,25,36,53,1,0,69.44
540316,1144168,2,5,6,0,0,40.0
550215,1144168,3,6,13,0,0,50.0
481979,1144168,8,18,21,0,0,44.44
542023,1144168,6,11,23,0,0,54.54
40618,1144168,1,3,5,0,0,33.33
379143,1144169,121,108,131,16,2,112.03
269280,1144169,4,11,23,0,0,36.36
44828,1144169,36,27,51,7,0,133.33
337790,1144169,50,67,85,3,0,74.62
321777,1144169,41,46,82,3,0,89.13
327830,1144169,31,26,32,2,1,119.23
540316,1144169,38,15,17,5,1,253.33
379143,1144170,51,57,83,6,0,89.47
269280,1144170,8,16,18,1,0,50.0
600498,1144170,29,32,42,3,0,90.62
44828,1144170,43,38,45,5,1,113.15
321777,1144170,25,33,52,1,1,75.75
44932,1144170,31,21,30,4,1,147.61
379143,1144171,6,14,11,1,0,42.85
600498,1144171,67,75,122,7,0,89.33
44828,1144171,24,42,65,1,0,57.14
337790,1144171,28,37,44,2,0,75.67
379143,1144483,68,74,94,6,2,91.89
43906,1144483,13,23,46,1,0,56.52
600498,1144483,11,12,17,2,0,91.66
44828,1144483,5,7,11,1,0,71.42
337790,1144483,50,61,85,4,1,81.96
44932,1144483,8,11,12,1,0,72.72
327830,1144483,1,1,6,0,0,100.0
540316,1144483,24,25,34,4,0,96.0
550215,1144483,11,19,23,2,0,57.89
542023,1144483,6,5,10,0,1,120.0
40618,1144483,0,1,2,0,0,0.0
379143,1144487,23,32,41,4,0,71.87
600498,1144487,45,56,78,4,0,80.35
44828,1144487,62,53,64,5,1,116.98
321777,1144487,38,43,62,2,0,88.37
337790,1144487,41,38,61,2,1,107.89
44932,1144487,45,37,62,4,0,121.62
540316,1144487,8,13,18,1,0,61.53
439952,1144487,10,10,16,1,0,100.0
550215,1144487,13,9,21,0,1,144.44
40618,1144487,10,10,13,0,0,100.0
43906,1144490,6,9,16,1,0,66.66
379143,1144490,10,17,28,1,0,58.82
44828,1144490,38,54,77,4,0,70.37
337790,1144490,22,37,59,1,0,59.45
321777,1144490,31,40,69,1,0,77.5
44932,1144490,3,11,11,0,0,27.27
540316,1144490,34,61,68,2,1,55.73
439952,1144490,42,34,58,1,2,123.52
550215,1144490,31,35,45,2,0,88.57
40618,1144490,0,2,2,0,0,0.0
43906,1144503,41,83,105,4,0,49.39
379143,1144503,68,72,84,8,0,94.44
540316,1144503,17,17,21,2,1,100.0
379143,1144507,5,8,8,1,0,62.5
43906,1144507,55,83,111,4,0,66.26
44828,1144507,23,35,53,4,0,65.71
600498,1144507,38,55,74,4,0,69.09
337790,1144507,67,64,100,2,3,104.68
321777,1144507,36,37,55,2,1,97.29
540316,1144507,0,5,12,0,0,0.0
439952,1144507,6,7,12,1,0,85.71
43906,1144512,2,3,7,0,0,66.66
379143,1144512,47,60,83,3,2,78.33
44828,1144512,63,79,112,5,0,79.74
600498,1144512,7,16,13,0,0,43.75
337790,1144512,36,47,71,1,1,76.59
321777,1144512,31,37,54,3,0,83.78
540316,1144512,46,32,50,6,0,143.75
439952,1144512,16,10,16,1,1,160.0
550215,1144512,3,7,13,0,0,42.85
542023,1144512,1,6,9,0,0,16.66
40618,1144512,1,3,8,0,0,33.33
379143,1144517,15,16,16,3,0,93.75
43906,1144517,80,105,167,5,0,76.19
44828,1144517,96,103,103,10,1,93.2
600498,1144527,34,37,51,6,1,91.89
379143,1144527,52,51,78,7,0,101.96
44828,1144527,100,94,125,7,2,106.38
337790,1144527,95,97,136,4,4,97.93
44932,1144527,14,13,18,1,0,107.69
327830,1144527,2,5,13,0,0,40.0
540316,1144527,4,3,8,1,0,133.33
47270,64862,53,74,106,6,0,71.62
45224,64862,10,26,40,1,0,38.46
46750,64862,21,30,25,1,1,70.0
45789,64862,109,94,136,6,5,115.95
44708,64862,1,4,5,0,0,25.0
47015,64862,61,76,92,7,0,80.26
47270,64863,9,27,42,0,0,33.33
45224,64863,10,24,28,2,0,41.66
45789,64863,16,44,63,2,0,36.36
44708,64863,83,123,158,8,0,67.47
47015,64863,14,39,51,1,0,35.89
44111,64863,5,8,11,1,0,62.5
46774,64863,26,30,32,4,0,86.66
45821,64863,7,10,15,1,0,70.0
47270,64865,46,62,87,6,0,74.19
45224,64865,18,27,49,1,0,66.66
46750,64865,36,43,57,4,0,83.72
45789,64865,95,97,128,7,2,97.93
44708,64865,30,45,52,4,0,66.66
45821,64865,41,38,67,2,1,107.89
47270,64866,58,60,111,6,0,96.66
45224,64866,15,18,24,1,1,83.33
45789,64866,139,142,197,11,3,97.88
44708,64866,28,37,41,1,0,75.67
47015,64866,35,29,52,3,1,120.68
45821,64866,4,5,6,1,0,80.0
44111,64866,7,6,21,1,0,116.66
46774,64866,12,3,10,1,1,400.0
47270,64867,72,91,132,8,0,79.12
45224,64867,43,57,87,4,0,75.43
45789,64867,26,41,45,3,0,63.41
44708,64867,44,49,89,6,0,89.79
47015,64867,24,46,63,3,0,52.17
44111,64867,0,4,7,0,0,0.0
46774,64867,5,11,11,0,0,45.45
47270,64868,80,109,187,7,1,73.39
45224,64868,0,2,4,0,0,0.0
45789,64868,6,26,44,0,0,23.07
44708,64868,36,58,70,4,0,62.06
47015,64868,42,36,38,4,2,116.66
44111,64868,40,35,36,4,1,114.28
45821,64868,8,14,16,0,0,57.14
46774,64868,20,13,42,2,0,153.84
44091,64868,2,4,5,0,0,50.0
46592,64868,9,7,29,1,0,128.57
47270,64869,43,37,0,6,0,116.21
45224,64869,69,64,0,6,2,107.81
45789,64869,16,25,0,1,0,64.0
46248,64869,6,6,0,1,0,100.0
44708,64869,8,16,0,1,0,50.0
44111,64869,0,4,0,0,0,0.0
46788,64869,45,38,0,5,0,118.42
44091,64869,24,23,0,3,0,104.34
46774,64869,29,17,0,0,3,170.58
47270,64862,53,74,106,6,0,71.62
45224,64862,10,26,40,1,0,38.46
46750,64862,21,30,25,1,1,70.0
45789,64862,109,94,136,6,5,115.95
44708,64862,1,4,5,0,0,25.0
47015,64862,61,76,92,7,0,80.26
47270,64862,53,74,106,6,0,71.62
45224,64862,10,26,40,1,0,38.46
46750,64862,21,30,25,1,1,70.0
45789,64862,109,94,136,6,5,115.95
44708,64862,1,4,5,0,0,25.0
47015,64862,61,76,92,7,0,80.26
47270,64863,9,27,42,0,0,33.33
45224,64863,10,24,28,2,0,41.66
45789,64863,16,44,63,2,0,36.36
44708,64863,83,123,158,8,0,67.47
47015,64863,14,39,51,1,0,35.89
44111,64863,5,8,11,1,0,62.5
46774,64863,26,30,32,4,0,86.66
45821,64863,7,10,15,1,0,70.0
47270,64865,46,62,87,6,0,74.19
45224,64865,18,27,49,1,0,66.66
46750,64865,36,43,57,4,0,83.72
45789,64865,95,97,128,7,2,97.93
44708,64865,30,45,52,4,0,66.66
45821,64865,41,38,67,2,1,107.89
47270,64866,58,60,111,6,0,96.66
45224,64866,15,18,24,1,1,83.33
45789,64866,139,142,197,11,3,97.88
44708,64866,28,37,41,1,0,75.67
47015,64866,35,29,52,3,1,120.68
45821,64866,4,5,6,1,0,80.0
44111,64866,7,6,21,1,0,116.66
46774,64866,12,3,10,1,1,400.0
47270,64867,72,91,132,8,0,79.12
45224,64867,43,57,87,4,0,75.43
45789,64867,26,41,45,3,0,63.41
44708,64867,44,49,89,6,0,89.79
47015,64867,24,46,63,3,0,52.17
44111,64867,0,4,7,0,0,0.0
46774,64867,5,11,11,0,0,45.45
47270,64868,80,109,187,7,1,73.39
45224,64868,0,2,4,0,0,0.0
45789,64868,6,26,44,0,0,23.07
44708,64868,36,58,70,4,0,62.06
47015,64868,42,36,38,4,2,116.66
44111,64868,40,35,36,4,1,114.28
45821,64868,8,14,16,0,0,57.14
46774,64868,20,13,42,2,0,153.84
44091,64868,2,4,5,0,0,50.0
46592,64868,9,7,29,1,0,128.57
47270,64869,43,37,0,6,0,116.21
45224,64869,69,64,0,6,2,107.81
45789,64869,16,25,0,1,0,64.0
46248,64869,6,6,0,1,0,100.0
44708,64869,8,16,0,1,0,50.0
44111,64869,0,4,0,0,0,0.0
46788,64869,45,38,0,5,0,118.42
44091,64869,24,23,0,3,0,104.34
46774,64869,29,17,0,0,3,170.58
47270,64872,37,57,86,5,0,64.91
45224,64872,16,28,32,3,0,57.14
45789,64872,13,21,24,2,0,61.9
44708,64872,18,44,53,2,0,40.9
44091,64872,50,47,69,5,0,106.38
47015,64872,70,71,89,6,0,98.59
44111,64872,35,28,36,3,0,125.0
46774,64872,5,4,3,1,0,125.0
45821,64872,3,3,2,0,0,100.0
47270,64875,15,33,43,1,0,45.45
45224,64875,13,8,12,3,0,162.5
45821,64875,14,8,12,2,1,175.0
46248,64875,11,20,39,1,0,55.0
45789,64875,58,59,89,4,1,98.3
44708,64875,8,17,19,1,0,47.05
44111,64875,48,30,46,5,2,160.0
47270,64877,9,21,31,1,0,42.85
45224,64877,3,6,16,0,0,50.0
45789,64877,0,12,10,0,0,0.0
47015,64877,3,10,14,0,0,30.0
46788,64877,47,86,124,5,0,54.65
44111,64877,0,3,9,0,0,0.0
46774,64877,7,10,12,1,0,70.0
45821,64877,35,58,71,3,0,60.34
46750,64877,5,27,29,0,0,18.51
46248,64877,23,33,54,2,0,69.69
46592,64877,42,35,41,3,2,120.0
47270,64902,38,50,79,5,0,76.0
45224,64902,0,13,20,0,0,0.0
45789,64902,74,85,116,5,2,87.05
47015,64902,22,31,41,1,0,70.96
46774,64902,30,45,47,1,0,66.66
44111,64902,58,47,41,5,1,123.4
45821,64902,15,17,28,1,0,88.23
44932,64902,4,5,11,0,0,80.0
44091,64902,2,2,6,0,0,100.0
44682,64902,3,4,4,0,0,75.0
46592,64902,5,2,1,1,0,250.0
47270,64903,14,29,54,1,0,48.27
45224,64903,7,17,25,0,0,41.17
44091,64903,14,18,22,2,0,77.77
45789,64903,0,6,12,0,0,0.0
47015,64903,4,16,23,0,0,25.0
46774,64903,54,78,127,2,0,69.23
44111,64903,4,14,13,0,0,28.57
44932,64903,22,45,53,0,0,48.88
45821,64903,40,56,64,2,0,71.42
44682,64903,15,14,20,2,0,107.14
47270,64904,16,27,49,1,0,59.25
45224,64904,49,82,112,4,1,59.75
45821,64904,0,4,7,0,0,0.0
45789,64904,52,108,106,3,0,48.14
47015,64904,18,25,46,0,0,72.0
44111,64904,7,9,19,0,0,77.77
46774,64904,14,20,21,1,0,70.0
44932,64904,3,3,8,0,0,100.0
44091,64904,10,13,19,0,0,76.92
44682,64904,11,9,14,1,0,122.22
47270,64905,46,64,107,4,0,71.87
45224,64905,27,27,35,5,0,100.0
45789,64905,7,11,15,0,1,63.63
47015,64905,24,34,46,1,0,70.58
44111,64905,27,69,66,1,0,39.13
44932,64905,0,2,3,0,0,0.0
46774,64905,52,69,88,3,1,75.36
45821,64905,12,18,13,0,1,66.66
44091,64905,19,10,19,3,0,190.0
47270,64906,25,32,58,3,0,78.12
45224,64906,6,10,11,1,0,60.0
45789,64906,101,127,159,7,1,79.52
47015,64906,48,60,81,2,0,80.0
44111,64906,24,19,20,2,1,126.31
46774,64906,11,10,16,1,0,110.0
44932,64906,0,1,2,0,0,0.0
45821,64906,4,6,13,0,0,66.66
44091,64906,21,16,25,1,1,131.25
45963,64906,2,2,3,0,0,100.0
46592,64906,7,6,11,0,0,116.66
47270,66199,42,52,76,6,0,80.76
45224,66199,4,11,13,1,0,36.36
45789,66199,40,44,62,9,0,90.9
47270,64862,53,74,106,6,0,71.62
45224,64862,10,26,40,1,0,38.46
46750,64862,21,30,25,1,1,70.0
45789,64862,109,94,136,6,5,115.95
44708,64862,1,4,5,0,0,25.0
47015,64862,61,76,92,7,0,80.26
47270,64863,9,27,42,0,0,33.33
45224,64863,10,24,28,2,0,41.66
45789,64863,16,44,63,2,0,36.36
44708,64863,83,123,158,8,0,67.47
47015,64863,14,39,51,1,0,35.89
44111,64863,5,8,11,1,0,62.5
46774,64863,26,30,32,4,0,86.66
45821,64863,7,10,15,1,0,70.0
47270,64865,46,62,87,6,0,74.19
45224,64865,18,27,49,1,0,66.66
46750,64865,36,43,57,4,0,83.72
45789,64865,95,97,128,7,2,97.93
44708,64865,30,45,52,4,0,66.66
45821,64865,41,38,67,2,1,107.89
47270,64866,58,60,111,6,0,96.66
45224,64866,15,18,24,1,1,83.33
45789,64866,139,142,197,11,3,97.88
44708,64866,28,37,41,1,0,75.67
47015,64866,35,29,52,3,1,120.68
45821,64866,4,5,6,1,0,80.0
44111,64866,7,6,21,1,0,116.66
46774,64866,12,3,10,1,1,400.0
47270,64867,72,91,132,8,0,79.12
45224,64867,43,57,87,4,0,75.43
45789,64867,26,41,45,3,0,63.41
44708,64867,44,49,89,6,0,89.79
47015,64867,24,46,63,3,0,52.17
44111,64867,0,4,7,0,0,0.0
46774,64867,5,11,11,0,0,45.45
47270,64868,80,109,187,7,1,73.39
45224,64868,0,2,4,0,0,0.0
45789,64868,6,26,44,0,0,23.07
44708,64868,36,58,70,4,0,62.06
47015,64868,42,36,38,4,2,116.66
44111,64868,40,35,36,4,1,114.28
45821,64868,8,14,16,0,0,57.14
46774,64868,20,13,42,2,0,153.84
44091,64868,2,4,5,0,0,50.0
46592,64868,9,7,29,1,0,128.57
47270,64869,43,37,-99,6,0,116.21
45224,64869,69,64,-99,6,2,107.81
45789,64869,16,25,-99,1,0,64.0
46248,64869,6,6,-99,1,0,100.0
44708,64869,8,16,-99,1,0,50.0
44111,64869,0,4,-99,0,0,0.0
46788,64869,45,38,-99,5,0,118.42
44091,64869,24,23,-99,3,0,104.34
46774,64869,29,17,-99,0,3,170.58
47270,64872,37,57,86,5,0,64.91
45224,64872,16,28,32,3,0,57.14
45789,64872,13,21,24,2,0,61.9
