player,mat,overs,M,runs,wicket,econ,_0s,_4s,_6s,wide,no_ball
47492,1144160,8.0,0,51,1,6.37,25,6,1,1,0
40618,1144160,10.0,0,36,0,3.6,34,3,0,0,0
550215,1144160,10.0,1,43,1,4.3,41,5,1,1,0
327830,1144160,10.0,1,46,2,4.6,27,2,0,0,0
698189,1144160,3.0,0,20,1,6.66,5,2,0,1,0
540316,1144160,9.0,0,42,2,4.66,30,4,0,3,0
550215,1144167,9.0,0,48,1,5.33,33,5,1,2,0
542023,1144167,10.0,0,60,3,6.0,34,8,1,1,0
481979,1144167,7.0,1,33,1,4.71,27,6,0,0,0
327830,1144167,7.0,0,44,0,6.28,15,3,1,0,0
40618,1144167,10.0,1,26,3,2.6,36,0,0,0,0
698189,1144167,4.0,0,20,0,5.0,9,1,0,0,0
550215,1144168,9.0,1,43,3,4.77,38,3,1,3,0
542023,1144168,5.2,0,14,2,2.62,22,1,0,0,0
481979,1144168,7.0,0,25,2,3.57,28,3,0,1,0
698189,1144168,2.0,0,13,0,6.5,4,1,0,1,0
40618,1144168,9.0,1,39,2,4.33,30,2,1,1,0
550215,1144169,6.0,2,18,1,3.0,27,2,0,1,0
542023,1144169,5.0,1,25,1,5.0,20,5,0,0,0
540316,1144169,2.0,0,19,0,9.5,3,2,0,1,0
327830,1144169,2.0,0,6,0,3.0,9,1,0,0,0
40618,1144169,5.0,0,19,2,3.8,16,1,0,1,0
379145,1144169,4.0,0,29,1,7.25,11,0,2,2,0
47492,1144170,7.0,0,32,1,4.57,29,3,0,1,0
542023,1144170,5.0,1,22,1,4.4,20,4,0,0,0
481979,1144170,8.0,0,57,3,7.12,27,3,4,2,0
540316,1144170,5.2,0,21,2,3.93,19,2,0,2,0
379145,1144170,10.0,0,34,1,3.4,40,2,0,3,0
44932,1144170,4.0,0,21,1,5.25,13,3,0,0,0
550215,1144171,10.0,1,50,3,5.0,39,6,1,2,3
542023,1144171,5.0,1,16,1,3.2,24,2,0,0,0
540316,1144171,8.0,0,40,1,5.0,25,3,0,5,0
481979,1144171,9.3,0,35,2,3.68,32,1,0,2,0
40618,1144171,10.0,1,33,2,3.3,38,3,0,1,0
327830,1144171,4.0,0,27,0,6.75,8,2,0,0,0
44932,1144171,3.0,0,16,0,5.33,9,2,0,1,0
40618,1144483,10.0,0,61,2,6.1,20,4,0,0,0
542023,1144483,10.0,0,66,3,6.6,28,6,2,2,0
550215,1144483,10.0,0,66,2,6.6,24,8,0,2,0
327830,1144483,7.0,0,42,0,6.0,17,5,0,0,0
540316,1144483,8.0,0,44,1,5.5,23,4,0,4,0
44932,1144483,2.0,0,14,0,7.0,3,1,0,0,0
600498,1144483,3.0,0,16,0,5.33,10,1,1,0,0
542023,1144487,4.0,0,34,0,8.5,12,7,0,0,0
550215,1144487,10.0,0,57,0,5.7,36,6,1,3,0
540316,1144487,10.0,1,52,2,5.2,28,4,0,3,0
439952,1144487,10.0,0,73,2,7.3,23,8,1,2,0
600498,1144487,5.0,0,38,0,7.6,10,4,1,0,0
40618,1144487,10.0,0,57,2,5.7,25,6,0,0,0
